보드게임이름,보드게임장르,보드게임간략소개,보드게임플레이인원수,게임규칙
구룡투,대결,드래곤 타일을 사용하여 상대와 대결하는 전략적 타일 게임,2명,"1. 목표: 더 높은 번호의 드래곤 타일을 내어 상대를 이기는 것이 목적입니다. 두 게임을 먼저 이긴 플레이어가 최종 승자가 됩니다.
2. 준비: 각 플레이어는 1~9 번호가 적힌 드래곤 타일 세트를 받고, 아레나 센서에 맞춰 타일을 놓을 준비를 합니다.
3. 진행: 각 라운드마다 두 플레이어는 각자 드래곤 타일을 선택하여 센서에 맞춰 놓습니다. 두 타일이 인식되면, 아레나가 승자를 발표하며 승자에게 라운드 램프가 켜집니다. 동일한 번호의 타일이 나올 경우 무승부로 처리하며, 그 다음 라운드의 공격자는 이전 라운드의 승자입니다.
4. 종료: 먼저 두 게임에서 승리한 플레이어가 최종 승자가 됩니다. 게임 중 타일 번호 1은 번호 9보다 높은 우선 순위를 갖습니다."
스컬,"블러핑, 전략",상대방의 카드를 뒤집어 해골을 피하는 게임,3-6명,"1. 카드 배치: 각 플레이어는 한 장의 카드를 내려놓거나 도전을 시작합니다.
2. 도전: 도전자는 자신이 뒤집을 카드 수를 선언하고, 다른 플레이어들이 입찰할 기회를 가집니다.
3. 해골 피하기: 지정된 카드 수만큼 카드를 뒤집되, 해골이 나오면 패배합니다.
4. 승리 조건: 두 번의 도전 성공 시 게임에서 승리합니다."
스컬킹,트릭 테이킹,카드로 트릭을 예측하고 최대한 많이 맞히는 게임,2-6명,"1. 라운드 진행: 10라운드 동안 카드 장수를 늘려가며 트릭을 예측합니다.
2. 트릭 예측: 각 플레이어는 자신이 얻을 트릭 수를 예측하고 손가락으로 표시합니다.
3. 특수 카드: 해적, 인어, 스컬킹 등의 특수 카드로 트릭에 변동이 생기며, 각 카드마다 고유 효과가 있습니다.
4. 게임 종료: 모든 라운드가 끝난 후 점수를 계산하며, 트릭을 정확하게 맞춘 플레이어가 높은 점수를 얻습니다."
스카이팀,"전략, 협력",항공편을 관리하고 항공 스케줄을 조율하는 협력 전략 게임,2-6명,"1. 항공 스케줄 조정: 각 플레이어는 항공편을 관리하며, 최적의 스케줄을 조율합니다.
2. 승객 관리: 승객을 배치하고, 각 항공편에 필요한 승객 수를 맞춰야 합니다.
3. 이벤트 대응: 항공편에 발생하는 다양한 이벤트에 대응하며, 일정이 지연되지 않도록 유지합니다.
4. 게임 종료: 모든 항공편을 제시간에 관리한 경우 팀이 승리하며, 그렇지 않으면 실패합니다."
센추리,"전략, 카드",향신료를 거래하고 카드의 조합을 통해 높은 점수를 얻는 전략 게임,2-5명,"1. 카드 셔플: 승점 카드와 상인 카드를 셔플한 후 정해진 위치에 배치합니다.
2. 차례 진행: 플레이어는 차례에 상인 카드의 사용, 승점 카드 구매 등 행동을 선택할 수 있습니다.
3. 승점 카드 획득: 특정 승점 카드를 얻기 위해 자원을 모아 구매할 수 있습니다.
4. 게임 종료: 모든 승점 카드가 소진되면 점수가 높은 플레이어가 승리합니다."
스파이폴,"블러핑, 추리","한 명의 스파이를 찾아내거나, 스파이가 장소를 파악하는 게임",3-8명,"1. 라운드 설정: 랜덤으로 장소 카드와 스파이 카드를 배분합니다.
2. 질문 주고받기: 플레이어는 서로 질문하며 스파이를 색출하거나 장소를 유추합니다.
3. 스파이의 승리 조건: 스파이는 장소를 알아내거나 자신의 정체를 들키지 않으면 승리합니다.
4. 투표: 모든 플레이어가 특정 플레이어를 스파이로 지목하면 해당 라운드가 종료됩니다."
석기시대,"전략, 경영",석기 시대를 배경으로 자원을 관리하고 문명을 발전시키는 게임,2-4명,"1. 게임 준비: 각 플레이어는 일꾼을 배치할 개인 보드를 받고, 자원을 준비하여 게임 보드에 배치합니다.
2. 턴 진행: 라운드마다 플레이어는 일꾼을 배치해 자원을 모으고, 도구를 제작하며, 건물이나 문명 카드를 얻습니다.
3. 식량 관리: 라운드 끝마다 각 플레이어는 일꾼들에게 식량을 공급해야 하며, 공급에 실패하면 페널티가 있습니다.
4. 게임 종료: 건물 타일이 다 소모되면 점수를 계산하여 최종 승자를 가립니다."
테라포밍 마스,"전략, 경제",화성의 환경을 지구화하여 인류가 거주 가능한 행성으로 만드는 게임,1-5명,"1. 초기 설정: 각 플레이어는 기업을 선택하고 프로젝트 카드를 통해 자원을 생산합니다.
2. 테라포밍 목표: 온도, 산소, 해양의 수치를 목표에 도달시키는 것이 게임 목표입니다.
3. 프로젝트 진행: 카드를 구매하여 자원과 점수를 획득하고, 기온과 산소를 조절하는 프로젝트를 실행합니다.
4. 게임 종료: 세 가지 목표가 모두 충족되면 게임이 종료되고, 점수를 합산하여 최종 승자를 결정합니다."
모자가 아니잖아,"기억, 파티",선물의 내용을 기억하고 블러핑하며 점수를 유지하는 게임,3명 이상,"1. 게임 시작: 각 플레이어는 선물을 받으며 선물의 내용을 기억합니다.
2. 선물 교환: 턴마다 플레이어는 선물을 교환하고 선물의 내용을 언급합니다. 수령자는 선물을 받거나 거절할 수 있습니다.
3. 거절 및 벌점: 잘못된 선물을 받았다고 판단되면 거절할 수 있으며, 틀린 사람은 벌점을 받습니다.
4. 게임 종료: 벌점이 누적되어 게임이 종료되며, 벌점이 가장 적은 사람이 승리합니다."
내 마음의 주파수,"파티, 추리",제시된 단서를 통해 심리적 타겟 위치를 맞추는 게임,2팀,"내 마음의 주파수는 타겟의 위치에 맞게 다이얼을 조정하는 게임입니다.
1. 준비: 두 팀으로 나누어 점수 토큰과 다이얼을 세팅합니다.
2. PSYCHIC 단계: 문제 출제자는 카드를 뽑아 단서를 제공하며, 각 팀이 타겟 위치를 추측하게 합니다.
3. TEAM 단계: 팀원들은 다이얼을 맞추어 타겟과 가장 근접하도록 조정합니다.
4. 점수 획득: 타겟 위치에 맞게 다이얼을 조정했다면 점수를 얻고, 다른 팀은 좌우 방향을 추측하여 추가 점수를 얻습니다."
한밤의 늑대인간,"추리, 파티",마을 사람들과 늑대인간 사이의 정체를 밝혀내는 심리 추리 게임,3-10명,"1. 게임 준비: 각 플레이어는 역할 카드를 받아 자신의 역할을 확인합니다.
2. 밤 시간: 순서에 따라 플레이어들이 눈을 감고 자신만의 능력을 사용해 역할을 확인하거나 교환합니다.
3. 낮 시간: 모든 플레이어가 눈을 뜨고 토론을 통해 늑대인간을 찾아 처형할 사람을 정합니다.
4. 게임 종료: 투표 결과로 늑대인간을 찾아내면 마을 주민이 승리하고, 실패하면 늑대인간이 승리합니다."
마헤,"주사위, 레이싱",주사위를 굴려 다리를 건너고 점수를 획득하는 게임,2-5명,"1. 주사위 굴리기: 최대 3번 주사위를 굴리며 7 이하의 숫자를 만들고 칸을 이동합니다.
2. 도전: 주사위 값이 8 이상이면 턴이 끝나고 점수를 얻지 못합니다.
3. 점수 획득: 다리를 건널 때 점수를 획득하며, 가장 많은 점수를 가진 플레이어가 승리합니다."
라스베가스,"전략, 주사위",카지노에서 주사위를 굴려 돈을 획득하는 도전적인 게임,2-5명,"1. 카지노 배치: 6개의 카지노를 가치 순서대로 보드 위에 놓고, 각 카지노에 돈을 배치합니다.
2. 주사위 굴리기: 차례마다 주사위를 굴리고 나온 숫자의 카지노에 주사위를 배치합니다.
3. 카지노 정산: 라운드가 끝나면 각 카지노에서 주사위를 많이 놓은 순서대로 돈을 가져갑니다.
4. 게임 종료: 4라운드가 끝나면 가장 많은 돈을 모은 플레이어가 승리합니다."
코드네임,"추리, 팀",팀원이 암호명을 추리하여 팀의 요원을 찾아내는 게임,4명 이상,"1. 팀 구성: 두 팀으로 나누어 각 팀의 팀장을 선발합니다.
2. 힌트 주기: 팀장은 암호명 카드와 관련된 힌트를 하나의 단어로 제공합니다.
3. 추리: 팀원은 힌트를 바탕으로 요원 카드를 맞추고, 암살자를 맞추면 즉시 패배합니다.
4. 게임 종료: 먼저 모든 요원 카드를 맞춘 팀이 승리합니다."
더 게임,"협력, 카드",카드의 순서를 유지하며 가능한 한 많은 카드를 내려놓는 협력 게임,1-5명,"1. 카드 배열: 오름차순과 내림차순으로 각각 두 줄의 카드줄을 만듭니다.
2. 카드 내려놓기: 각 줄의 카드에 맞는 숫자를 순서대로 내려놓습니다.
3. 반대로 놓기: 기존 카드보다 정확히 10 높은 숫자는 예외적으로 반대로 놓을 수 있습니다.
4. 게임 종료: 모든 카드가 내려가거나 더 이상 카드를 내려놓을 수 없으면 종료됩니다."
우봉고,"퍼즐, 전략",퍼즐 타일을 맞추어 가장 많은 보석을 얻는 게임,2-4명,"1. 퍼즐 풀기: 주사위를 굴려 퍼즐 타일을 선택하고 제한 시간 안에 퍼즐을 맞춥니다.
2. 보석 획득: 퍼즐을 완성한 순서대로 보석을 획득합니다.
3. 게임 종료: 보석이 가장 많은 색상을 모은 플레이어가 승리합니다."
티켓 투 라이드,"전략, 경로 설정",기차 경로를 연결하여 목표를 달성하는 전략 게임,2-5명,"1. 카드 선택: 카드 더미에서 색깔에 맞는 열차 카드를 뽑습니다.
2. 경로 연결: 경로를 완성하기 위해 특정 색상의 열차 카드 조합을 사용합니다.
3. 보너스 획득: 가장 긴 경로를 완성한 플레이어는 추가 보너스를 얻습니다.
4. 게임 종료: 점수가 가장 높은 플레이어가 승리합니다."
차이나타운,"협상, 경제",상가를 교환하며 상권을 확장하고 높은 수익을 얻는 협상 게임,3-5명,"1. 땅과 상가 카드 배분: 각 플레이어는 땅과 상가 카드를 분배받아 차이나타운의 상권을 확장합니다.
2. 협상 및 거래: 상가 카드와 땅을 교환하며 상가를 완성하고, 수익을 극대화합니다.
3. 라운드 종료 및 수익 계산: 각 라운드가 종료되면 수익을 계산하여 점수를 기록합니다.
4. 게임 종료: 정해진 라운드가 끝나고 가장 높은 수익을 얻은 플레이어가 승리합니다."
차오차오,"블러핑, 주사위",주사위 결과에 따라 말이 다리를 건너며 속임수를 사용하는 게임,2-4명,"1. 주사위 굴리기: 주사위를 굴려 나온 숫자만큼 말을 이동할지 선택합니다.
2. 블러핑: 주사위 결과를 속일 수 있으며, 상대방이 이를 믿지 않으면 주사위 결과를 공개해야 합니다.
3. 점수 획득: 다리를 무사히 건너면 점수를 획득합니다.
4. 게임 종료: 정해진 점수에 도달하면 게임이 종료되며, 점수가 가장 높은 플레이어가 승리합니다."
클랭크,"덱 빌딩 , 어드벤처",던전에서 보물을 훔쳐 드래곤을 피해 탈출하는 것이 목표인 전략 게임,2-4명,"1. 목표: 보물을 획득하고 던전을 탈출하며 가장 많은 점수를 모으는 것입니다.
2. 준비: 각 플레이어는 자신의 시작 덱을 받고, 보드에 유물, 비밀 토큰 등을 배치합니다.
3. 진행: 플레이어들은 자신의 턴마다 덱에서 카드를 뽑아 다양한 자원(이동, 공격, 기술점수)을 생성하고, 이를 통해 던전 탐험 및 보물 획득을 수행합니다. '철커덕' 소음을 너무 많이 내면 용이 공격하게 되며, 큐브를 통해 피해를 입습니다.
4. 종료: 모든 플레이어가 탈출하거나 쓰러지면 게임이 종료되며, 모은 점수를 비교해 가장 높은 점수를 획득한 플레이어가 승리합니다."
레지스탕스: 쿠,"블러핑, 추리",다른 플레이어의 영향력을 제거하고 생존하는 게임,2-6명,"1. 행동 선택: 턴마다 한 가지 행동을 선택하며, 캐릭터 행동은 블러핑이 가능합니다.
2. 도전: 다른 플레이어는 행동을 도전해 블러핑 여부를 검증할 수 있습니다.
3. 쿠 실행: 7개의 코인을 지불하여 강제적으로 다른 플레이어의 영향력을 제거할 수 있습니다.
4. 게임 종료: 마지막으로 남은 플레이어가 승리합니다."
달무티,"카드 , 순위",빠르게 카드를 버리고 높은 사회적 순위를 차지하는 게임,4-8명,"1. 사회적 순위 배정: 플레이어는 카드를 빠르게 버리면서 다음 판에서 높은 순위를 차지합니다.
2. 세금: 달무티는 최하위 플레이어에게 카드를 교환하여 유리한 위치를 유지합니다.
3. 혁명: 조커를 모두 소유한 플레이어는 혁명을 선언해 세금 없이 게임을 진행할 수 있습니다.
4. 카드 버리기: 낮은 순위의 카드를 버려 이기면 높은 순위에 배치되며, 이를 반복합니다."
